 title , comment , username , date  , rating 
Our Vegas Trip,"In our Vegas trip, the first Hotel and Casino we visited was MGM. This huge Hotel and very big Casino Area. There are lots of things you can do it here. There is Lion enclosed inside and you can see it through the glass.",Anurag Saurabh,November 2018,5.0
"Better than I anticipated, with monorail, tram, and Uber, you are minutes from anywhere,","Reviewers have not been kind to MGM saying it was worn and old...and I had a week for a conference at the MGM, I was torn to sleep at Caesar/Bellagio or take a risk at the MGM which would have been convenient to the conference, tough call. So I took a risk and stayed at the MGM.…",TimeToGoTravel133,May 2019,5.0
Terrible rooms,"The rooms are small and dark. There was no refrigerator, no microwave and no coffee maker. The bathroom had no counter space. The bathroom has a glass door to the toilet area that doesn’t even shut all the way. There is no fan in the bathroom.",nrbehrmann,July 2019,1.0
MGM Grand was by far the best stay in 20 years in going to Vegas,"We stayed in the MGM grand and found the valet easy and fast, check in and out was convenient and close to the valet. And access to the elevators was easy and close as well. No hikes, and no long waiting for elevators. The room we chose was the exec suite and everything was…",Ken M,August 2018,5.0
As good as I hoped it would be,"Surely the best hotel I’ve ever stayed in! I suppose it’s unlike any other hotel I’ve ever stayed in to be honest due to the sheer size and facilities within it, but that doesn’t detract away from the whole experience of staying here. The room I had booked was spacious, the…",H Dadey,September 2018,5.0
The Green Experience,"When booking this Hotel make sure to find out where you room is located before hand. I was in the WEST WING its very far from the middle of the Hotel and or the Conference Center. It is over 1800 steps if you count them from one end to the other. I averaged 18,000 steps a day…",shaunyv87,July 2019,4.0
Business trip to Vegas,"Excellent staff and Hotel; we have already planned our next vacation with a stay at the MGM Grand, we usually stay at The Paris Hotel down the strip the staff won us over. Food choices were outstanding. Great mix of casino games",robertjk230,July 2019,5.0
Expensive but very basic room,"Expensive but very basic. The bath / shower looked like something out of the 60s. Bed was hard. No down pillows, no fitted sheets plus room service skipped my room 2 days in a row. TV channel line up was basic. Chairs in the room were old and uncomfortable",johnsaxton,July 2019,1.0
Dated and not up to date for business travellers in my view,"Went here, hotel rooms are okay, typical type rooms. no tea coffee making facilities, no complimentary water. Gym equipment okay, only open 8to 8 which for business people just dies not work these days. Swimming pool same hours!, Went to get a coffee Starbucks by reception…",Roger J,July 2019,3.0
Great place to stay,Great place to stay. Everyone was super nice and helpful. Room was nice and clean. Beds were very comfortable. close convenience of all the stores I wanted to shop at I also enjoyed the casino part of the MGM.,442alicia,July 2019,5.0
Our Vegas Trip,"In our Vegas trip, the first Hotel and Casino we visited was MGM. This huge Hotel and very big Casino Area. There are lots of things you can do it here. There is Lion enclosed inside and you can see it through the glass.",Anurag Saurabh,November 2018,5.0
"Better than I anticipated, with monorail, tram, and Uber, you are minutes from anywhere,","Reviewers have not been kind to MGM saying it was worn and old...and I had a week for a conference at the MGM, I was torn to sleep at Caesar/Bellagio or take a risk at the MGM which would have been convenient to the conference, tough call. So I took a risk and stayed at the MGM.…",TimeToGoTravel133,May 2019,5.0
Terrible rooms,"The rooms are small and dark. There was no refrigerator, no microwave and no coffee maker. The bathroom had no counter space. The bathroom has a glass door to the toilet area that doesn’t even shut all the way. There is no fan in the bathroom.",nrbehrmann,July 2019,1.0
